Exercise,inv1,Total Sub,19, Unique Sub,14
Exercise,inv2,Total Sub,20, Unique Sub,9
Exercise,inv3,Total Sub,31, Unique Sub,30
Exercise,inv4,Total Sub,42, Unique Sub,37
Exercise,inv5,Total Sub,72, Unique Sub,55
Exercise,inv6,Total Sub,53, Unique Sub,39
Exercise,inv7,Total Sub,25, Unique Sub,22
Exercise,inv8,Total Sub,24, Unique Sub,19
Exercise,inv9,Total Sub,42, Unique Sub,36
Exercise,inv10,Total Sub,90, Unique Sub,71
Exercise,inv11,Total Sub,68, Unique Sub,64
Exercise,inv12,Total Sub,40, Unique Sub,35
Exercise,inv13,Total Sub,37, Unique Sub,34
Exercise,inv14,Total Sub,57, Unique Sub,50
Exercise,inv15,Total Sub,36, Unique Sub,32

