Exercise,inv1,Total Sub,118, Unique Sub,87
Exercise,inv2,Total Sub,23, Unique Sub,19
Exercise,inv3,Total Sub,79, Unique Sub,60
Exercise,inv4,Total Sub,44, Unique Sub,36
Exercise,inv5,Total Sub,214, Unique Sub,182
Exercise,inv6,Total Sub,234, Unique Sub,166
Exercise,inv7,Total Sub,193, Unique Sub,146
Exercise,inv8,Total Sub,61, Unique Sub,41
Exercise,inv9,Total Sub,492, Unique Sub,345
Exercise,inv10,Total Sub,61, Unique Sub,48
Exercise,inv11,Total Sub,26, Unique Sub,21
Exercise,inv12,Total Sub,79, Unique Sub,52
Exercise,inv13,Total Sub,69, Unique Sub,43
Exercise,inv14,Total Sub,80, Unique Sub,63
Exercise,inv15,Total Sub,30, Unique Sub,18

