Exercise,inv1,Total Sub,1, Unique Sub,1
Exercise,inv2,Total Sub,1, Unique Sub,1
Exercise,inv3,Total Sub,21, Unique Sub,11
Exercise,inv4,Total Sub,12, Unique Sub,10
Exercise,inv5,Total Sub,17, Unique Sub,12
Exercise,inv6,Total Sub,11, Unique Sub,9
Exercise,inv7,Total Sub,18, Unique Sub,9
Exercise,inv8,Total Sub,36, Unique Sub,23
Exercise,inv9,Total Sub,46, Unique Sub,21
Exercise,inv10,Total Sub,27, Unique Sub,22
Exercise,inv11,Total Sub,85, Unique Sub,50
Exercise,inv12,Total Sub,64, Unique Sub,32
Exercise,inv13,Total Sub,11, Unique Sub,9
Exercise,inv14,Total Sub,4, Unique Sub,3
Exercise,inv15,Total Sub,29, Unique Sub,21

