Exercise,inv1,Total Sub,332, Unique Sub,214
Exercise,inv2,Total Sub,43, Unique Sub,29
Exercise,inv3,Total Sub,173, Unique Sub,107
Exercise,inv4,Total Sub,190, Unique Sub,88
Exercise,inv5,Total Sub,362, Unique Sub,284
Exercise,inv6,Total Sub,439, Unique Sub,285
Exercise,inv7,Total Sub,446, Unique Sub,317
Exercise,inv8,Total Sub,149, Unique Sub,90
Exercise,inv9,Total Sub,931, Unique Sub,626
Exercise,inv10,Total Sub,71, Unique Sub,55
Exercise,inv11,Total Sub,54, Unique Sub,49
Exercise,inv12,Total Sub,176, Unique Sub,126
Exercise,inv13,Total Sub,207, Unique Sub,138
Exercise,inv14,Total Sub,243, Unique Sub,161
Exercise,inv15,Total Sub,185, Unique Sub,130

