Exercise,inv1,Total Sub,45, Unique Sub,7
Exercise,inv2,Total Sub,40, Unique Sub,4
Exercise,inv3,Total Sub,37, Unique Sub,10
Exercise,inv4,Total Sub,28, Unique Sub,9
Exercise,inv5,Total Sub,0, Unique Sub,0
Exercise,inv6,Total Sub,3, Unique Sub,2
Exercise,inv7,Total Sub,8, Unique Sub,3
Exercise,inv8,Total Sub,2, Unique Sub,2
Exercise,inv9,Total Sub,0, Unique Sub,0
Exercise,inv10,Total Sub,9, Unique Sub,5
Exercise,inv11,Total Sub,7, Unique Sub,2
Exercise,inv12,Total Sub,0, Unique Sub,0
Exercise,inv13,Total Sub,2, Unique Sub,2
Exercise,inv14,Total Sub,0, Unique Sub,0
Exercise,inv15,Total Sub,3, Unique Sub,3
Exercise,inv16,Total Sub,1, Unique Sub,1
Exercise,inv17,Total Sub,0, Unique Sub,0
Exercise,inv18,Total Sub,0, Unique Sub,0

