NA H: THEME UPDATE
inv1 C: all w:Worker | w in Human or w in Robot
inv2 U: all w:Workstation | some w.workers
inv2 B: all w:Workstation,wor:Worker | some w.workers and one workers.w
inv2 U: all w:Workstation,wor:Worker | some w.workers and one workers.wor
inv2 U: all w:Workstation,wor:Worker | some w.workers and lone workers.wor
inv2 U: all w:Workstation,wor:Worker | some w.workers and one workers.wor
inv2 T: all w:Workstation,wor:Worker | set w.workers and one workers.wor
inv2 T: all w:Workstation,wor:Worker |  w.workers and one workers.wor
inv2 U: all w:Workstation,wor:Worker |  some w.workers and one workers.wor
inv2 U: all w:Workstation,wor:Worker |  some w.workers
inv2 U: all w:Workstation,wor:Worker |  some w.workers and some workers.wor
inv2 U: all w:Workstation,wor:Worker |   some workers.wor
inv2 U: all w:Workstation,wor:Worker |   some w.workers
inv2 U: all w:Workstation,wor:Worker |   some w.workers => some workers.wor
inv2 U: all w:Workstation,wor:Worker |   one workers.wor
inv2 U: all w:Workstation,wor:Worker |   one workers.wor
inv3 O: all c:Component | one workstation.c
inv3 O: all c:Component | one workstation.c
inv3 U: all c:Component | lone workstation.c
inv3 C: all c:Component | one c.workstation
inv4 U: all c:Component,m:Material| some c.parts and no m.parts
inv4 U: all c:Component,m:Material| no m.parts
inv4 B: all c:Component,m:Material| no m.parts and some parts.c
inv4 U: all c:Component,m:Material| no m.parts and some c.parts
inv4 U: all c:Component,m:Material| no m.parts and (some c.parts)
inv4 U: all c:Component,m:Material| no m.parts
inv4 U: all c:Component,m:Material| some c.parts
inv4 S: all p:Product| (p in Material => no p.parts) or (p in Components =>some p.parts)
inv4 U: all p:Product| (p in Material => no p.parts) or (p in Component =>some p.parts)
inv4 U: all p:Product| (p in Material => no p.parts) or (p in Component => some p.parts)
inv4 U: all p:Product| (p in Material => no p.parts) or (p in Component => one p.parts)
inv4 U: all p:Product| (p in Material => no p.parts) or (p in Component => lone p.parts)

