Exercise,inv1,Total Sub,192, Unique Sub,176
Exercise,inv2,Total Sub,52, Unique Sub,49
Exercise,inv3,Total Sub,123, Unique Sub,107
Exercise,inv4,Total Sub,259, Unique Sub,207
Exercise,inv5,Total Sub,198, Unique Sub,163
Exercise,inv6,Total Sub,131, Unique Sub,118
Exercise,inv7,Total Sub,161, Unique Sub,140
Exercise,inv8,Total Sub,87, Unique Sub,82
Exercise,inv9,Total Sub,166, Unique Sub,135
Exercise,inv10,Total Sub,77, Unique Sub,70
Exercise,inv11,Total Sub,55, Unique Sub,52
Exercise,inv12,Total Sub,81, Unique Sub,73
Exercise,inv13,Total Sub,113, Unique Sub,98
Exercise,inv14,Total Sub,79, Unique Sub,75
Exercise,inv15,Total Sub,103, Unique Sub,87

