Pairs,1
,,"always one pos.Track",1

Pairs,1
,,"always lone pos.Track",1

Pairs,8
,,"all  t1,t2:Train | always t1.pos!=t2.pos",4
,,"always all t1,t2:Train | t1.pos!=t2.pos",2
,,"all t1, t2 : Train | always t1.pos' != t2.pos'",1
,,"all t1,t2 : Train | always ( no (t1.pos & t2.pos) and t1.prox not in t2.pos)",1

Pairs,7
,,"always all disj t, t2 : Train | t.pos != t2.pos",1
,,"always all disj t1,t2:Train |  t1.pos!=t2.pos",3
,,"all disj t1,t2:Train | always t1.pos!=t2.pos",3

Pairs,5
,,"always (all t1,t2 : Train | no (t1.pos & t2.pos))",1
,,"all t1,t2 : Train | always no (t1.pos & t2.pos)",3
,,"always all t1, t2: Train | always (no t1.pos & t2.pos)",1

