NA H: THEME UPDATE
inv1 C: all c:Component | some c.parts
inv2 U: all c:Component | c not in c.parts
inv2 T: all c:Component | c not in ^c.parts
inv2 C: all c:Component | c not in c.^parts
inv3 S: all c: Component , some r:Robot | r->(c.position) in position
inv3 S: all c: Component , some r:Robot | r->(c.position) in Robot<:position
inv3 T: all c: Component | some (c.position).~position
inv3 C: all c: Component | (c.position) in Robot.position
inv4 T: all c: Component | c.parts in c.^~next
inv4 T: all c: Component | c.parts in c.^~next
inv4 T: all c: Component | c.parts not in c.^~next
inv4 T: all c: Component | c.parts not in c.^next
inv4 B: all c: Component | (c.parts).position not in (c.position).^~next
inv4 O: all c: Component | (c.parts).position in (c.position).^~next
inv4 B: all c: Component | (c.parts).position not in (c.position).^next
inv4 B: all c: Component | ((c.parts):>Component).position not in (c.position).^next
inv4 B: all c: Component | ((c.parts) & Component).position not in (c.position).^next
inv4 B: all c: Component | ((c.^parts) & Component).position not in (c.position).^next
inv4 O: all c: Component | ((c.^parts) & Component).position not in (c.position).*next
inv4 B: all c: Component | ((c.^parts) & Component).position not in (c.position).^next
inv4 B: all c: Component | ((c.^parts) & Component).position not in (c.position).^next or no c.^parts
inv4 U: all c: Component | ((c.^parts) & Component).position not in (c.position).^next or no (c.^parts & Component)

