classroom_fol
inv,#attempts,total length,avg
inv1,205,593,2.892682926829268
inv2,171,433,2.5321637426900585
inv3,168,534,3.1785714285714284
inv4,153,578,3.7777777777777777
inv5,150,807,5.38
inv6,137,447,3.2627737226277373
inv7,136,409,3.0073529411764706
inv8,136,556,4.088235294117647
inv9,131,588,4.488549618320611
inv10,132,611,4.628787878787879
inv11,132,1350,10.227272727272727
inv12,124,975,7.862903225806452
inv13,104,508,4.884615384615385
inv14,98,1082,11.040816326530612
inv15,63,483,7.666666666666667
classroom_rl
inv,#attempts,total length,avg
inv1,286,885,3.0944055944055946
inv2,171,472,2.760233918128655
inv3,157,580,3.694267515923567
inv4,165,725,4.393939393939394
inv5,156,943,6.044871794871795
inv6,142,733,5.161971830985915
inv7,134,693,5.1716417910447765
inv8,126,602,4.777777777777778
inv9,123,772,6.276422764227642
inv10,118,1048,8.88135593220339
inv11,89,839,9.426966292134832
inv12,77,503,6.532467532467533
inv13,82,432,5.2682926829268295
inv14,58,660,11.379310344827585
inv15,55,522,9.49090909090909
coursesNew
inv,#attempts,total length,avg
inv1,367,1495,4.073569482288828
inv2,318,1248,3.9245283018867925
inv3,316,1383,4.3765822784810124
inv4,313,1440,4.600638977635783
inv5,307,2145,6.986970684039088
inv6,285,1674,5.873684210526315
inv7,278,1559,5.607913669064748
inv8,270,1098,4.066666666666666
inv9,245,3094,12.628571428571428
inv10,215,1301,6.051162790697674
inv11,200,662,3.31
inv12,193,963,4.989637305699482
inv13,149,774,5.194630872483222
inv14,169,846,5.005917159763314
inv15,108,577,5.342592592592593
coursesOld
inv,#attempts,total length,avg
inv1,495,3533,7.137373737373737
inv2,435,1354,3.1126436781609197
inv3,428,1956,4.570093457943925
inv4,431,3055,7.088167053364269
inv5,417,3957,9.489208633093526
inv6,372,2030,5.456989247311828
inv7,333,2747,8.24924924924925
inv8,315,1567,4.974603174603175
inv9,289,2880,9.965397923875432
inv10,241,1178,4.8879668049792535
inv11,222,839,3.779279279279279
inv12,212,1409,6.64622641509434
inv13,160,1833,11.45625
inv14,182,1418,7.791208791208791
inv15,115,954,8.295652173913043
cv_v1
inv,#attempts,total length,avg
inv1,98,350,3.5714285714285716
inv2,64,301,4.703125
inv3,50,363,7.26
inv4,41,468,11.414634146341463
cv_v2
inv,#attempts,total length,avg
inv1,19,49,2.5789473684210527
inv2,16,89,5.5625
inv3,15,83,5.533333333333333
inv4,19,227,11.947368421052632
graphs
inv,#attempts,total length,avg
inv1,222,985,4.436936936936937
inv2,134,527,3.9328358208955225
inv3,112,434,3.875
inv4,109,532,4.8807339449541285
inv5,100,395,3.95
inv6,106,838,7.90566037735849
inv7,84,368,4.380952380952381
inv8,88,322,3.659090909090909
lts
inv,#attempts,total length,avg
inv1,175,614,3.5085714285714285
inv2,107,320,2.9906542056074765
inv3,113,703,6.221238938053097
inv4,107,1287,12.02803738317757
inv5,79,575,7.2784810126582276
inv6,62,234,3.774193548387097
inv7,53,461,8.69811320754717
productionLine_v1
inv,#attempts,total length,avg
inv1,101,299,2.9603960396039604
inv2,52,267,5.134615384615385
inv3,44,238,5.409090909090909
inv4,37,311,8.405405405405405
productionLine_v2
inv,#attempts,total length,avg
inv1,169,619,3.662721893491124
inv2,153,981,6.411764705882353
inv3,141,454,3.219858156028369
inv4,140,785,5.607142857142857
inv5,143,758,5.300699300699301
inv6,134,887,6.619402985074627
inv7,130,578,4.446153846153846
inv8,115,520,4.521739130434782
inv9,104,1214,11.673076923076923
inv10,72,491,6.819444444444445
productionLineNew
inv,#attempts,total length,avg
inv1,145,495,3.413793103448276
inv2,136,731,5.375
inv3,130,417,3.207692307692308
inv4,129,527,4.0852713178294575
inv5,127,509,4.0078740157480315
inv6,119,592,4.974789915966387
inv7,118,827,7.008474576271187
inv8,113,418,3.6991150442477876
inv9,57,630,11.052631578947368
inv10,31,155,5.0
socialMedia
inv,#attempts,total length,avg
inv1,1137,5812,5.11169744942832
inv2,972,4519,4.649176954732511
inv3,900,7305,8.116666666666667
inv4,800,5114,6.3925
inv5,732,4924,6.726775956284153
inv6,617,2985,4.837925445705024
inv7,567,6955,12.2663139329806
inv8,521,2473,4.746641074856046
trainStationNew
inv,#attempts,total length,avg
inv1,298,2475,8.305369127516778
inv2,280,1605,5.732142857142857
inv3,265,5539,20.90188679245283
inv4,239,2106,8.811715481171548
inv5,213,2696,12.657276995305164
inv6,210,1181,5.623809523809523
inv7,195,903,4.630769230769231
inv8,187,2034,10.877005347593583
inv9,183,1822,9.956284153005464
inv10,171,1036,6.058479532163743
trainStationOld
inv,#attempts,total length,avg
inv1,42,186,4.428571428571429
inv2,35,167,4.771428571428571
inv3,33,312,9.454545454545455
inv4,29,168,5.793103448275862
inv5,19,197,10.368421052631579
inv6,16,141,8.8125
inv7,10,51,5.1
inv8,4,48,12.0
inv9,5,114,22.8
inv10,4,17,4.25
inv11,5,34,6.8
inv12,2,5,2.5
inv13,2,15,7.5
inv14,3,36,12.0
inv15,5,40,8.0
inv16,4,11,2.75
inv17,2,24,12.0
trash_fol
inv,#attempts,total length,avg
inv1,293,1059,3.614334470989761
inv2,174,487,2.7988505747126435
inv3,156,409,2.621794871794872
inv4,153,510,3.3333333333333335
inv5,163,625,3.834355828220859
inv6,157,769,4.898089171974522
inv7,156,913,5.852564102564102
inv8,141,429,3.0425531914893615
inv9,131,412,3.145038167938931
inv10,135,598,4.42962962962963
trash_ltl
inv,#attempts,total length,avg
inv1,124,386,3.1129032258064515
inv2,105,501,4.771428571428571
inv3,106,272,2.5660377358490565
inv4,104,810,7.788461538461538
inv5,111,886,7.981981981981982
inv6,105,866,8.247619047619047
inv7,95,335,3.526315789473684
inv8,85,809,9.51764705882353
inv9,91,412,4.527472527472527
inv10,92,712,7.739130434782608
inv11,81,478,5.901234567901234
inv12,81,770,9.506172839506172
inv13,71,272,3.8309859154929575
inv14,64,407,6.359375
inv15,63,251,3.984126984126984
inv16,64,326,5.09375
inv17,55,264,4.8
inv18,59,390,6.610169491525424
inv19,50,234,4.68
inv20,48,267,5.5625
trash_rl
inv,#attempts,total length,avg
inv1,377,1064,2.8222811671087533
inv2,180,555,3.0833333333333335
inv3,150,615,4.1
inv4,144,625,4.340277777777778
inv5,139,862,6.201438848920863
inv6,127,725,5.708661417322834
inv7,132,911,6.901515151515151
inv8,124,351,2.8306451612903225
inv9,113,622,5.504424778761062
inv10,121,687,5.677685950413223

