Exercise,inv1,Total Sub,302, Unique Sub,249
Exercise,inv2,Total Sub,29, Unique Sub,24
Exercise,inv3,Total Sub,138, Unique Sub,115
Exercise,inv4,Total Sub,494, Unique Sub,269
Exercise,inv5,Total Sub,431, Unique Sub,306
Exercise,inv6,Total Sub,168, Unique Sub,137
Exercise,inv7,Total Sub,239, Unique Sub,202
Exercise,inv8,Total Sub,101, Unique Sub,76
Exercise,inv9,Total Sub,95, Unique Sub,81
Exercise,inv10,Total Sub,177, Unique Sub,146
Exercise,inv11,Total Sub,88, Unique Sub,72
Exercise,inv12,Total Sub,104, Unique Sub,95
Exercise,inv13,Total Sub,275, Unique Sub,214
Exercise,inv14,Total Sub,64, Unique Sub,58
Exercise,inv15,Total Sub,108, Unique Sub,85

