Exercise,inv1,Total Sub,90, Unique Sub,81
Exercise,inv2,Total Sub,14, Unique Sub,14
Exercise,inv3,Total Sub,91, Unique Sub,79
Exercise,inv4,Total Sub,83, Unique Sub,70
Exercise,inv5,Total Sub,123, Unique Sub,97
Exercise,inv6,Total Sub,97, Unique Sub,87
Exercise,inv7,Total Sub,139, Unique Sub,122
Exercise,inv8,Total Sub,40, Unique Sub,36
Exercise,inv9,Total Sub,133, Unique Sub,113
Exercise,inv10,Total Sub,86, Unique Sub,79
Exercise,inv11,Total Sub,36, Unique Sub,28
Exercise,inv12,Total Sub,66, Unique Sub,52
Exercise,inv13,Total Sub,114, Unique Sub,82
Exercise,inv14,Total Sub,44, Unique Sub,38
Exercise,inv15,Total Sub,50, Unique Sub,45

