Exercise,inv1,Total Sub,13, Unique Sub,4
Exercise,inv2,Total Sub,100, Unique Sub,29
Exercise,inv3,Total Sub,9, Unique Sub,2
Exercise,inv4,Total Sub,3, Unique Sub,1
Exercise,inv5,Total Sub,4, Unique Sub,4
Exercise,inv6,Total Sub,128, Unique Sub,45
Exercise,inv7,Total Sub,0, Unique Sub,0
Exercise,inv8,Total Sub,18, Unique Sub,11
Exercise,inv9,Total Sub,5, Unique Sub,5
Exercise,inv10,Total Sub,250, Unique Sub,89
Exercise,inv11,Total Sub,46, Unique Sub,21
Exercise,inv12,Total Sub,75, Unique Sub,43
Exercise,inv13,Total Sub,9, Unique Sub,7
Exercise,inv14,Total Sub,30, Unique Sub,20
Exercise,inv15,Total Sub,23, Unique Sub,8
Exercise,inv16,Total Sub,42, Unique Sub,22
Exercise,inv17,Total Sub,27, Unique Sub,26
Exercise,inv18,Total Sub,23, Unique Sub,20
Exercise,inv19,Total Sub,25, Unique Sub,18
Exercise,inv20,Total Sub,5, Unique Sub,3

