Pairs,22
,,"eventually some Trash",5
,,"eventually some f: File | f in Trash",2
,,"eventually some f: File | eventually f in Trash",4
,,"eventually some f:File | f not in Trash implies f in Trash'",2
,,"eventually some f: File | f not in Trash until f in Trash",1
,,"eventually some f:File | f in Trash releases f in Trash",1
,,"eventually some f : File | f not in Trash implies always f in Trash",1
,,"eventually some f: File | f in File - Trash until f in Trash",1
,,"eventually some f:File | always f not in Trash implies f in Trash'",1
,,"eventually some f:File | f not in Trash implies always f in Trash'",2
,,"eventually some f:File | f not in Trash implies f in Trash since f in Trash",1
,,"eventually some f : Trash | after eventually f not in Trash or f in Trash",1

Pairs,1
,,"all f: File | eventually some Trash",1

Pairs,1
,,"eventually some f:File | f in Trash'",1

Pairs,8
,,"always (all f:File&Trash | f in Trash)",1
,,"always all f:File | f in Trash implies  f in Trash",1
,,"eventually all f:File | f in Trash implies f in Trash",2
,,"eventually all f:File | always f in Trash implies f in Trash",1
,,"all f:File | eventually f in Trash implies eventually f in Trash",1
,,"eventually (all f:File | eventually (f in Trash implies always f in Trash))",1
,,"always all f : File | eventually f in Trash => eventually f in Trash",1

Pairs,5
,,"eventually always some f:File | f in Trash",3
,,"eventually always some f : File | f not in Trash implies always f in Trash",1
,,"eventually always some f : File | f not in Trash implies always f in Trash'",1

Pairs,1
,,"eventually (some f : File | eventually after f in Trash)",1

Pairs,1
,,"eventually some f:File | f in Trash implies after f in Trash",1

Pairs,1
,,"eventually some f:File | f in Trash releases after f in Trash",1

Pairs,10
,,"eventually some f:File | f in Trash implies always f in Trash",8
,,"eventually some f:File | f in Trash implies always f in Trash'",1
,,"eventually (some f:File | (f in Trash) implies ((f not in Trash) releases (f in Trash)))",1

Pairs,7
,,"eventually some f:File | f in Trash' implies always f in Trash'",1
,,"eventually (some f:File | eventually (f in Trash implies always (f in Trash)))",1
,,"eventually (some f : File | eventually always f in Trash implies f in Trash')",1
,,"eventually some f:File | ((f not in Trash)and(f in Trash')) implies always f in Trash'",1
,,"eventually some f : File | f in Trash => after eventually f not in Trash or f in Trash",1
,,"eventually some f : File | f in Trash => after (eventually f not in Trash or f in Trash)",1
,,"eventually some f : File | f in Trash => after (always eventually f not in Trash or f in Trash)",1

Pairs,9
,,"eventually always some f:File | f not in Trash implies f in Trash'",9

Pairs,1
,,"always eventually some f : File | f not in Trash implies f in Trash'",1

Pairs,1
,,"eventually (some f : File | eventually f in Trash implies f in Trash')",1

Pairs,5
,,"eventually (some f:File | eventually f in Trash implies always f in Trash)",5

Pairs,1
,,"eventually (always some f:File | f not in (Trash & Protected) implies f in Trash')",1

Pairs,1
,,"eventually (always some f:File | (f not in Trash and f not in Protected ) implies f in Trash')",1

