NA H: THEME UPDATE
inv1 S: all p: Photo, some u:User | u->p in posts implies ( all u2:User | u2!=u implies not u2->p in posts )
inv1 S: all p: Photo, some u:User | u->p in posts implies ( all u2:User | u2!=u implies (not u2->p in posts) )
inv1 S: all p: Photo, some u:User | u->p in posts
inv1 T: all p: Photo | lone User.p
inv1 T: all p: Photo | lone User.posts.p
inv1 U: all p: Photo | lone posts.p
inv1 C: all p: Photo | one posts.p
inv2 C: all u:User | u not in u.follows
inv3 T: all u:User | u.sees in follows.posts
inv3 O: all u:User | u.sees in u.follows.posts
inv3 O: all u:User | u.sees in u.follows.posts
inv3 T: all u:User | u.sees in (u.follows.posts or Ad)
inv3 C: all u:User | u.sees in (u.follows.posts + Ad)
inv4 B: all u:User | Ad in u.posts implies u.posts in Ad
inv4 B: all u:User | (Ad in u.posts) implies (u.posts in Ad)
inv4 B: all u:User | (Ad in u.posts) implies (u.posts in Ad)
inv5 B: all u:User | Influencer in u.follows
inv5 U: all u:User-Influencer | Influencer in u.follows
inv5 U: all u:User | Influencer-u in u.follows
inv4 T: all u:User | (some Ad in u.posts) implies (u.posts in Ad)
inv4 T: all u:User | (some u.posts in Ad) implies (u.posts in Ad)
inv4 T: all u:User | (some u.posts in Ad) implies (u.posts in Ad)
inv4 T: all u:User | (some u.posts in Ad) implies (u.posts in Ad)
inv4 T: all u:User | (some u.posts in Ad) implies (u.posts in Ad)
inv4 T: all u:User | (some u.posts in Ad) implies (u.posts in Ad)
inv4 T: all u:User | (some u.posts in Ad) implies (u.posts in Ad)
inv4 T: all u:User | (some u.posts in Ad) implies (u.posts in Ad)
inv4 T: all u:User | (some u.posts in Ad) implies (u.posts in Ad)
inv4 T: all u:User | (some u.posts in Ad) implies (u.posts in Ad)
inv4 T: all u:User | (some u.posts in Ad) implies (u.posts in Ad)
inv4 T: all u:User | (some u.posts in Ad) implies (u.posts in Ad)
inv4 T: all u:User | (some u.posts in Ad) implies (u.posts in Ad)
inv4 T: all u:User | (some u.posts in Ad) implies (u.posts in Ad)
inv4 T: all u:User | (some u.posts in Ad) implies (u.posts in Ad)
inv4 T: all u:User | (some u.posts in Ad) implies (u.posts in Ad)

