Exercise,inv1, Unique Sub,1
Exercise,inv2, Unique Sub,12
Exercise,inv3, Unique Sub,1
Exercise,inv4, Unique Sub,19
Exercise,inv5, Unique Sub,71
Exercise,inv6, Unique Sub,42
Exercise,inv7, Unique Sub,5
Exercise,inv8, Unique Sub,67
Exercise,inv9, Unique Sub,21
Exercise,inv10, Unique Sub,13
Exercise,inv11, Unique Sub,29
Exercise,inv12, Unique Sub,100
Exercise,inv13, Unique Sub,11
Exercise,inv14, Unique Sub,35
Exercise,inv15, Unique Sub,7
Exercise,inv16, Unique Sub,12
Exercise,inv17, Unique Sub,31
Exercise,inv18, Unique Sub,58
Exercise,inv19, Unique Sub,13
Exercise,inv20, Unique Sub,22

